case,modality,bpm,resolution,frames,signal_min,signal_max,alignment_offset_ms,residual_std_before,residual_std_after,stable_ratio,accepted_frames,rejected_frames,acceptance_rate,output_dir
case_01_fast_lownoise,cine-balanced,96.7741935483871,64x64,14,-0.2749359637771116,2.689790270515904,-1.0367525761943597,1.0997872498252588,1.2694242405743699,93.75,6,8,42.857142857142854,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_01_fast_lownoise
case_02_fast_highnoise,cine-balanced,100.0,48x48,16,-0.4065518968825481,2.6651398988129755,-1.1343202907611984,1.3313894672191033,1.3054170695574743,94.44444444444444,8,8,50.0,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_02_fast_highnoise
case_03_mid_clean,bSSFP,76.92307692307692,64x48,12,-0.2655690503889271,2.6687905716128744,0.9181617572296403,1.465993790307725,1.1289034054076703,95.0,4,8,33.33333333333333,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_03_mid_clean
case_04_mid_modulated,bSSFP,73.17073170731707,80x64,15,-0.346630256029153,2.71883396379881,-1.7410442369415478,1.3008067034011288,1.1760499119184813,57.692307692307686,5,10,33.33333333333333,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_04_mid_modulated
case_05_mid_sparse,FLASH,66.66666666666667,96x64,10,-0.3309588251114097,2.6852651397920617,-1.7922742989862002,1.4692116272930202,1.2145255113890212,45.45454545454545,2,8,20.0,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_05_mid_sparse
case_06_brady_lownoise,FLASH,61.224489795918366,64x96,14,-0.2603673969922206,2.69786612598938,1.840652736539738,1.6273034801203592,1.2537226019082008,10.714285714285714,2,12,14.285714285714285,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_06_brady_lownoise
case_07_brady_noisy,FLASH,57.69230769230769,96x96,18,-0.4600416175187282,2.8179362956767227,-0.00861107350237944,1.2747571967407487,1.2747571967407383,12.5,2,16,11.11111111111111,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_07_brady_noisy
case_08_arrhythmia,cine-balanced,78.94736842105263,64x80,17,-0.5981946972707457,2.852477201816816,0.6443975864719391,1.409131940475092,1.2830048072378755,96.0,8,9,47.05882352941176,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_08_arrhythmia
case_09_variable_spacing,cine-balanced,76.92307692307692,80x80,20,-0.3559153680444172,2.6820442656874453,-0.9858153200856172,1.4257926292710121,1.5362779191643712,94.73684210526315,9,11,45.0,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_09_variable_spacing
case_10_high_frames,cine-balanced,85.71428571428571,64x64,22,-0.3175495461319838,2.622343649812041,-0.586646203737871,1.2750766485896432,1.227005664967059,94.44444444444444,11,11,50.0,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_10_high_frames
case_11_low_frames,FLASH,73.17073170731707,48x48,9,-0.2847117116071258,2.6768983345288304,-0.06838553450637619,1.1026924034479801,1.1026924034479724,93.75,4,5,44.44444444444444,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_11_low_frames
case_12_low_snr,bSSFP,78.94736842105263,64x64,14,-0.5001193490332657,2.883847070661831,0.04096067919314095,1.2866999094852667,1.2866999094852702,90.47619047619048,5,9,35.714285714285715,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_12_low_snr
case_13_ultra_fast,cine-balanced,111.11111111111111,56x56,16,-0.3418972647916515,2.675665757624437,20.866217200212883,5.151052487027962,1.0485496425363834,88.88888888888889,7,9,43.75,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_13_ultra_fast
case_14_ultra_slow,FLASH,54.54545454545455,80x64,18,-0.3227142143316529,2.6887471780342005,-2.0865593101144952,1.6842065277854696,1.0590800463047,31.70731707317073,3,15,16.666666666666664,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_14_ultra_slow
case_15_obese_patient,HASTE,71.42857142857143,96x96,15,-0.3811361109251715,2.702598360015648,1.446984182872697,1.5654404101761803,1.0709197012784026,60.0,4,11,26.666666666666668,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_15_obese_patient
case_16_peds_small,cine-balanced,115.38461538461539,48x48,12,-0.2419504870250904,2.674508581995746,2.378894791361505,1.540117465449048,1.2944725640423345,87.5,4,8,33.33333333333333,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_16_peds_small
case_17_implant_noise,bSSFP,76.92307692307692,64x64,14,-0.4935853781927612,2.6211388698856437,2.2911628254590823,0.9727997036760502,1.296845772579517,81.81818181818183,6,8,42.857142857142854,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_17_implant_noise
case_18_low_gating,cine-balanced,78.94736842105263,64x80,13,-0.5209349808347725,2.7390717876162927,2.161700027705507,1.2834454531468447,1.3560972155700213,89.47368421052632,5,8,38.46153846153847,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_18_low_gating
case_19_sparse_gating,FLASH,66.66666666666667,80x96,11,-0.3471086146345531,2.7067203164554434,2.2201486159440265,1.747934283917196,1.1608908086173637,43.333333333333336,2,9,18.181818181818183,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_19_sparse_gating
case_20_vendor_mix,HASTE,75.0,72x64,16,-0.3472735553530794,2.7212970748859946,1.4386738226855584,1.4824151514049897,1.4972597802464387,85.71428571428571,9,7,56.25,demo_steps\four_step_demo\step_4_filter\filtered_frames\case_20_vendor_mix
