case,modality,resolution,frames,bpm,signal_min,signal_max
case_01_fast_lownoise,cine-balanced,64x64,14,96.7741935483871,-0.2749359637771116,2.689790270515904
case_02_fast_highnoise,cine-balanced,48x48,16,100.0,-0.4065518968825481,2.6651398988129755
case_03_mid_clean,bSSFP,64x48,12,76.92307692307692,-0.2655690503889271,2.6687905716128744
case_04_mid_modulated,bSSFP,80x64,15,73.17073170731707,-0.346630256029153,2.71883396379881
case_05_mid_sparse,FLASH,96x64,10,66.66666666666667,-0.3309588251114097,2.6852651397920617
case_06_brady_lownoise,FLASH,64x96,14,61.224489795918366,-0.2603673969922206,2.69786612598938
case_07_brady_noisy,FLASH,96x96,18,57.69230769230769,-0.4600416175187282,2.8179362956767227
case_08_arrhythmia,cine-balanced,64x80,17,78.94736842105263,-0.5981946972707457,2.852477201816816
case_09_variable_spacing,cine-balanced,80x80,20,76.92307692307692,-0.3559153680444172,2.6820442656874453
case_10_high_frames,cine-balanced,64x64,22,85.71428571428571,-0.3175495461319838,2.622343649812041
case_11_low_frames,FLASH,48x48,9,73.17073170731707,-0.2847117116071258,2.6768983345288304
case_12_low_snr,bSSFP,64x64,14,78.94736842105263,-0.5001193490332657,2.883847070661831
case_13_ultra_fast,cine-balanced,56x56,16,111.11111111111111,-0.3418972647916515,2.675665757624437
case_14_ultra_slow,FLASH,80x64,18,54.54545454545455,-0.3227142143316529,2.6887471780342005
case_15_obese_patient,HASTE,96x96,15,71.42857142857143,-0.3811361109251715,2.702598360015648
case_16_peds_small,cine-balanced,48x48,12,115.38461538461539,-0.2419504870250904,2.674508581995746
case_17_implant_noise,bSSFP,64x64,14,76.92307692307692,-0.4935853781927612,2.6211388698856437
case_18_low_gating,cine-balanced,64x80,13,78.94736842105263,-0.5209349808347725,2.7390717876162927
case_19_sparse_gating,FLASH,80x96,11,66.66666666666667,-0.3471086146345531,2.7067203164554434
case_20_vendor_mix,HASTE,72x64,16,75.0,-0.3472735553530794,2.7212970748859946
