case,total_cycles,stable_cycles,stable_ratio
case_01_fast_lownoise,16,15,93.75
case_02_fast_highnoise,18,17,94.44444444444444
case_03_mid_clean,20,19,95.0
case_04_mid_modulated,26,15,57.692307692307686
case_05_mid_sparse,22,10,45.45454545454545
case_06_brady_lownoise,28,3,10.714285714285714
case_07_brady_noisy,32,4,12.5
case_08_arrhythmia,25,24,96.0
case_09_variable_spacing,19,18,94.73684210526315
case_10_high_frames,18,17,94.44444444444444
case_11_low_frames,16,15,93.75
case_12_low_snr,21,19,90.47619047619048
case_13_ultra_fast,18,16,88.88888888888889
case_14_ultra_slow,41,13,31.70731707317073
case_15_obese_patient,25,15,60.0
case_16_peds_small,16,14,87.5
case_17_implant_noise,22,18,81.81818181818183
case_18_low_gating,19,17,89.47368421052632
case_19_sparse_gating,30,13,43.333333333333336
case_20_vendor_mix,21,18,85.71428571428571
