case,accepted_frames,rejected_frames,acceptance_rate
case_01_fast_lownoise,6,8,42.85714285714285
case_02_fast_highnoise,8,8,50.0
case_03_mid_clean,4,8,33.33333333333333
case_04_mid_modulated,5,10,33.33333333333333
case_05_mid_sparse,2,8,20.0
case_06_brady_lownoise,2,12,14.285714285714285
case_07_brady_noisy,2,16,11.11111111111111
case_08_arrhythmia,8,9,47.05882352941176
case_09_variable_spacing,9,11,45.0
case_10_high_frames,11,11,50.0
case_11_low_frames,4,5,44.44444444444444
case_12_low_snr,5,9,35.714285714285715
case_13_ultra_fast,7,9,43.75
case_14_ultra_slow,3,15,16.666666666666664
case_15_obese_patient,4,11,26.666666666666668
case_16_peds_small,4,8,33.33333333333333
case_17_implant_noise,6,8,42.85714285714285
case_18_low_gating,5,8,38.46153846153847
case_19_sparse_gating,2,9,18.181818181818183
case_20_vendor_mix,9,7,56.25
