t_s,hb
0,0.141148
0.011667,-0.110505
0.023333,0.082583
0.035,-0.060406
0.046667,0.040416
0.058333,-0.038345
0.07,-0.015989
0.081667,0.02013
0.093333,-0.01633
0.105,0.017621
0.116667,-0.023822
0.128333,0.048241
0.14,0.024257
0.151667,-0.033078
0.163333,0.021119
0.175,-0.009521
0.186667,0.005181
0.198333,-0.0318
0.21,-0.010371
0.221667,0.010912
0.233333,-0.014435
0.245,0.009629
0.256667,-0.004858
0.268333,-0.036087
0.28,-0.040456
0.291667,0.040352
0.303333,-0.036592
0.315,0.025075
0.326667,-0.013452
0.338333,-0.051021
0.35,-0.017509
0.361667,0.022155
0.373333,-0.022112
0.385,0.017418
0.396667,-0.013684
0.408333,-0.006402
0.42,-0.030886
0.431667,0.029742
0.443333,-0.026321
0.455,0.018135
0.466667,-0.006978
0.478333,-0.040063
0.49,-0.023302
0.501667,0.02311
0.513333,-0.018981
0.525,0.011574
0.536667,-0.00412
0.548333,-0.017918
0.56,-0.011557
0.571667,0.012814
0.583333,-0.011966
0.595,0.006811
0.606667,-0.000833
0.618333,-0.030828
0.63,-0.038028
0.641667,0.038023
0.653333,-0.031
0.665,0.01977
0.676667,-0.009117
0.688333,-0.016683
0.7,-0.021936
0.711667,0.020009
0.723333,-0.015295
0.735,0.006566
0.746667,0.000488
0.758333,-0.026873
0.77,-0.079081
0.781667,0.077977
0.793333,-0.062848
0.805,0.032836
0.816667,-0.011813
0.828333,-0.267304
0.84,0.171271
0.851667,-0.12917
0.863333,0.095231
0.875,-0.076207
0.886667,0.065291
0.898333,-0.099071
0.91,0.027902
0.921667,-0.012741
0.933333,0.000599
0.945,0.001302
0.956667,-0.003078
0.968333,-0.018491
0.98,-0.016021
0.991667,0.02156
1.003333,-0.021211
1.015,0.017296
1.026667,-0.007667
1.038333,-0.03115
1.05,-0.020352
1.061667,0.023832
1.073333,-0.025052
1.085,0.020314
1.096667,-0.015727
1.108333,-0.00497
1.12,-0.023453
1.131667,0.024843
1.143333,-0.023791
1.155,0.020088
1.166667,-0.015346
1.178333,-0.00293
1.19,-0.025375
1.201667,0.025167
1.213333,-0.023589
1.225,0.016491
1.236667,-0.008113
1.248333,-0.028252
1.26,-0.018744
1.271667,0.020952
1.283333,-0.01982
1.295,0.014891
1.306667,-0.009073
1.318333,-0.01147
1.33,-0.01658
1.341667,0.017322
1.353333,-0.015699
1.365,0.009964
1.376667,-0.002435
1.388333,-0.030776
1.4,-0.01687
1.411667,0.018826
1.423333,-0.017694
1.435,0.011438
1.446667,-0.005121
1.458333,-0.016453
1.47,-0.009942
1.481667,0.011328
1.493333,-0.010369
1.505,0.007734
1.516667,-0.004419
1.528333,-0.005773
1.54,-0.007346
1.551667,0.007398
1.563333,-0.007019
1.575,0.005045
1.586667,-0.002697
1.598333,-0.005494
1.61,-0.004991
1.621667,0.005306
1.633333,-0.0052
1.645,0.003337
1.656667,-0.001733
1.668333,-0.004836
1.68,-0.002938
1.691667,0.003863
1.703333,-0.003278
1.715,0.003455
1.726667,-0.003227
1.738333,0.005861
1.75,-0.000646
1.761667,0.000148
1.773333,-0.000117
1.785,0.001153
1.796667,-0.002884
1.808333,0.010549
1.82,0.002204
1.831667,-0.002507
1.843333,0.002102
1.855,0.000851
1.866667,-0.003977
1.878333,0.020644
1.89,0.008985
1.901667,-0.009973
1.913333,0.00851
1.925,-0.003109
1.936667,-0.003038
1.948333,0.031864
1.96,0.026701
1.971667,-0.02727
1.983333,0.022342
1.995,-0.011917
2.006667,0.001092
2.018333,0.03584
2.03,0.020332
2.041667,-0.019747
2.053333,0.015356
2.065,-0.003653
2.076667,-0.00808
2.088333,0.062119
2.1,0.031942
2.111667,-0.029629
2.123333,0.02503
2.135,-0.007367
2.146667,-0.00597
2.158333,0.095041
2.17,0.053735
2.181667,-0.048433
2.193333,0.037421
2.205,-0.015206
2.216667,-0.008307
2.228333,0.106405
2.24,0.026963
2.251667,-0.0288
2.263333,0.023646
2.275,0.000236
2.286667,-0.028744
2.298333,0.176228
2.31,-0.07063
2.321667,0.050327
2.333333,-0.034749
2.345,0.033037
2.356667,-0.033879
2.368333,0.092051
2.38,0.022118
2.391667,-0.02935
2.403333,0.028797
2.415,-0.019246
2.426667,0.009379
2.438333,0.037553
2.45,0.136268
2.461667,-0.124353
2.473333,0.106161
2.485,-0.068062
2.496667,0.033556
2.508333,0.100495
2.52,0.005177
2.531667,-0.010331
2.543333,0.010758
2.555,-0.002446
2.566667,-0.009893
2.578333,0.054272
2.59,-0.007731
2.601667,0.003282
2.613333,-0.001811
2.625,0.006512
2.636667,-0.013991
2.648333,0.057184
2.66,0.010714
2.671667,-0.013977
2.683333,0.013002
2.695,-0.004819
2.706667,-0.003688
2.718333,0.040571
2.73,0.025106
2.741667,-0.027234
2.753333,0.021896
2.765,-0.011906
2.776667,-0.00048
2.788333,0.057967
2.8,0.071134
2.811667,-0.063093
2.823333,0.051362
2.835,-0.028302
2.846667,0.007232
2.858333,0.061391
2.87,0.018261
2.881667,-0.019424
2.893333,0.015778
2.905,-0.001257
2.916667,-0.017565
2.928333,0.111339
2.94,-0.018048
2.951667,0.010336
2.963333,-0.005671
2.975,0.009272
2.986667,-0.013492
2.998333,0.042909
3.01,0.001709
3.021667,-0.005819
3.033333,0.005847
3.045,1.7e-05
3.056667,-0.008603
3.068333,0.047958
3.08,0.007397
3.091667,-0.009937
3.103333,0.009525
3.115,-0.005585
3.126667,0.002935
3.138333,0.002643
3.15,-0.000442
3.161667,0.000389
3.173333,-0.000447
3.185,-3.6e-05
3.196667,0.000746
3.208333,-0.001409
3.22,0.002503
3.231667,-0.002509
3.243333,0.002755
