t_trig_s,amp
0.548333,0.040616
0.851667,0.058269
1.166667,0.044779
2.228333,0.029667
2.543333,0.099344
2.87,0.056613
3.208333,0.050074
4.748333,0.024783
5.121666,0.037289
5.471667,0.087027
5.891666,0.024718
6.288333,0.024378
6.603333,0.026758
6.906667,0.031931
7.49,0.108851
7.793333,0.024543
8.761666,0.149449
9.065,0.041441
9.391666,0.026339
9.695,0.024752
10.068334,0.045603
10.383333,0.056565
10.698333,0.038572
12.389999,0.111013
12.705,0.041902
13.031667,0.056701
13.381666,0.070243
13.708333,0.035452
14.023334,0.039396
14.338333,0.077488
14.688334,0.032926
